responden,jenis_kelamin,usia,pendidikan,penghasilan,aktivitas_meningkat_1,aktivitas_meningkat_2,aktivitas_meningkat_3,aktivitas_meningkat_4,aktivitas_meningkat_5,menggunakan_emoney?,emoney_pilihan_1,emoney_pilihan_2,emoney_pilihan_3,emoney_pilihan_4,emoney_pilihan_5,penggunaan_1,penggunaan_2,penggunaan_3,penggunaan_4,penggunaan_5,metode_topup_1,metode_topup_2,metode_topup_3,metode_topup_4,metode_topup_5,keluhan_1,keluhan_2,keluhan_3
1,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,,Mengikuti kelas online,Akses media sosial,,ya,,OVO,,Dana,,,,,,,,Mobile Banking,,,,,,
2,Laki – laki,15-20 tahun,SMA,Rp 2 juta – Rp 5 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,GoPay,OVO,,Dana,ShopeePay,Pembayaran transportasi online,Pembayaran tol,Pembayaran e-commerce,Pembayaran di restauran/ cafe,"Pembayaran utilitas (PLN, PDAM, dll)",,Mobile Banking,,,,Aplikasi tidak bisa digunakan/ diakses,,
3,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,GoPay,OVO,,Dana,,,,Pembayaran e-commerce,,,ATM,Mobile Banking,,,,,Nominal saldo berkurang tanpa digunakan untuk transaksi,
4,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,Melakukan konsultasi kesehatan secara online,ya,GoPay,OVO,,Dana,ShopeePay,Pembayaran transportasi online,Pembayaran tol,Pembayaran e-commerce,Pembayaran di restauran/ cafe,"Pembayaran utilitas (PLN, PDAM, dll)",ATM,Mobile Banking,,Melalui Driver,Top up di minimarket,Aplikasi tidak bisa digunakan/ diakses,,
5,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,GoPay,OVO,,,,Pembayaran transportasi online,,Pembayaran e-commerce,Pembayaran di restauran/ cafe,,,Mobile Banking,,,,Aplikasi tidak bisa digunakan/ diakses,,
6,Perempuan,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,,,,ya,GoPay,,,,,,,,,,ATM,,,,Top up di minimarket,Aplikasi tidak bisa digunakan/ diakses,,
7,Laki – laki,>50 tahun,S1,> Rp 10 juta,Berbelanja online,Streaming video/ film,,Akses media sosial,,ya,GoPay,OVO,,,,Pembayaran transportasi online,Pembayaran tol,,,"Pembayaran utilitas (PLN, PDAM, dll)",ATM,Mobile Banking,,,,Aplikasi tidak bisa digunakan/ diakses,,
8,Laki – laki,15-20 tahun,SMA,Rp 2 juta – Rp 5 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,GoPay,,,,,Pembayaran transportasi online,,,Pembayaran di restauran/ cafe,,,Mobile Banking,,,,,,Telah Top Up tapi saldo tidak bertambah
9,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,Berbelanja online,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,GoPay,,,,,Pembayaran transportasi online,,Pembayaran e-commerce,,,,Mobile Banking,,,,,Nominal saldo berkurang tanpa digunakan untuk transaksi,Telah Top Up tapi saldo tidak bertambah
10,Perempuan,>50 tahun,SMA,Rp 2 juta – Rp 5 juta,,Streaming video/ film,,Akses media sosial,,ya,,,,,,,Pembayaran tol,,,,,,,,Top up di minimarket,,,
11,Laki – laki,15-20 tahun,SMA,< Rp 2 juta,,Streaming video/ film,Mengikuti kelas online,Akses media sosial,,ya,GoPay,OVO,LinkAja,,,Pembayaran transportasi online,,Pembayaran e-commerce,Pembayaran di restauran/ cafe,,ATM,Mobile Banking,,,,Aplikasi tidak bisa digunakan/ diakses,,
12,Laki – laki,41-50 tahun,S1,> Rp 10 juta,Berbelanja online,,,Akses media sosial,Melakukan konsultasi kesehatan secara online,ya,GoPay,OVO,,,,Pembayaran transportasi online,Pembayaran tol,,,,ATM,,,,,,,
13,Laki – laki,41-50 tahun,S1,Rp 5 juta – Rp 10 juta,,Streaming video/ film,,Akses media sosial,,ya,,,,,,Pembayaran transportasi online,Pembayaran tol,,,,ATM,Mobile Banking,,,Top up di minimarket,Aplikasi tidak bisa digunakan/ diakses,,
14,Laki – laki,15-20 tahun,SMA,Rp 2 juta – Rp 5 juta,Berbelanja online,Streaming video/ film,,Akses media sosial,,ya,GoPay,,,Dana,ShopeePay,Pembayaran transportasi online,Pembayaran tol,Pembayaran e-commerce,Pembayaran di restauran/ cafe,"Pembayaran utilitas (PLN, PDAM, dll)",,Mobile Banking,,Melalui Driver,Top up di minimarket,,,
